id,district,municipality,ward,name,population,income_min,income_max,avg_income,main_employment,ethnicity_mauriya(murao),ethnicity_magar,ethnicity_kshetri,ethnicity_yadav,ethnicity_verma,ethnicity_chamar,ethnicity_koiri,ethnicity_kosi,ethnicity_khatik,ethnicity_thakur,ethnicity_sonar,ethnicity_kewat,ethnicity_dhobi,ethnicity_tharu,ethnicity_pahadi,ethnicity_madhesi,ethnicity_muslim,ethnicity_dalit,ethnicity_janajati,ethnicity_chetri,ethnicity_rai,ethnicity_chaudhari,ethnicity_guruug,ethnicity_newar,ethnicity_bhramin,languages_nepali,languages_hindi,languages_awadhi,languages_urdu,languages_maithili,languages_abadi,languages_magaue(khan),languages_bhasa,languages_chaudary,languages_tharu,languages_madhesi,languages_khumali,languages_magar,accessable_by_foot,accessable_by_car,accessable_by_bus,accessible_by_motorbike,accessible_by_bicycle,accessible_by_boat,accessible_by_riksja,accessible_by_tractor,land_roads,paved_roads,other_roads,count_bridges,length_bridge_min(m),length_bridge_max (m),max_distance_btw_ward_primaryeducation (km),max_distance_btw_ward_secondaryschool(km),max_distance_btw_ward_healthcentre(km),max_distance_btw_ward_watersanitation (km),current_challenges,housing_assistance_none,assistance_demonstrationhouse,assistance_carpenter/masontraining,assistance_doortodoor,assistance_communityorientation,assistance_materials,assistance_financial,housing_assistance_janta,housing_assistance_surakshitawas,housing_assistance_NDRRMA,housing_assistance_CRS,housing_assistance_other,assistance_info_received,main_construction_materials_concrete,main_construction_materials_mud,main_construction_materials_wood,main_construction_materials_bamboo,main_construction_materials_riverstones,main_construction_materials_straw,main_construction_materials_brick,iron rod/steel  rod/aluminium rod,main_construction_materials_thatched,main_construction_materials_tin,main_construction_materials_taurpaulin,avg_agri_per_house,crop_type,hazard_flood,hazard_earthquakes,hazard_landslides,hazard_fires,hazard_wildlifeattack,hazard_drought,hazard_wind
1,Banke,Rapti Sonari,6,rapti_sonari_ward_06,8345,,,10000,"agriculture, day labor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,423,423,2,3,1,1,hazards,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,,0,0-5 ??,"wheat, rice, maize, pulses, vegetables",1,1,1,1,1,1,0
2,Banke,Narainapur,6,narainapur_ward_06,8296,15000,20000,,"agriculture, animal husbandry, day labor, remittance, police",1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,15,2000,2000,3,50,1,2,"hazards, poor,bad housing",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,,0,56 bigha,"wheat, rice, maize, pulses, vegetables",0,0,0,0,0,1,0
3,Banke,Narainapur,5,narainapur_ward_05,7600,10000,15000,,"agriculture, animal rearing",0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,6,50,70,1.5,0.01,0.04,none available,"hazards, poor toilet",0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,,1,500-5000 square meters,"rice, wheat, maize, oil seed, vegetables, potato, cauliflower, tobacco",1,0,0,1,1,1,0
4,Banke,Duduwa,2,duduwa_ward_02,9709,4000,5000,,agriculture,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,60,3000,3,1.5,6,none available,hazards,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,,0,unknown,"mustard, maize, rice, wheat, vegetables",1,0,0,1,1,1,1
5,Banke,Baijanath,6,baijanath_ward_06,9672,10000,15000,,"agriculture, remittance, business",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,2000,3000,3,3,4,2,hazards,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,,0,10-20 dhur,"rice, wheat, corn, pulse (legumes), mustard",1,0,0,0,0,0,0
6,Banke,Baijanath,5,baijanath_ward_05,5700,,,10000,"agriculture, remittance",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,3,1000,1000,2,2,1,1,"economic conditions, mud houses, landless",0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,0,1 katha,"wheat, rice, maize, pulses",1,1,1,1,1,1,1
7,Banke,Rapti Sonari,7,rapti_sonari_ward_07,10594,10000,15000,,"agriculture, livestock",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,12,700,800,1,1,0.5,0,"poor housing, hazards",0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,,0,10 kathar,"mustard, maize, rice, wheat, vegetables",1,0,0,0,0,0,0
8,Banke,Rapti Sonari,2,rapti_sonari_ward_02,11000,8000,10000,,"agriculture, remittance, public service",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,3,4000,5000,3,3,2,0,"economic conditions, reconstruction process",0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,,0,2-4 kathas,"mustard, maize, rice, wheat,pulse",1,1,1,1,1,0,0
9,Dang,Babai,5,babai_ward_05,7500,,,4000,agriculture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,3,1500,4000,1.5,1.5,2.5,0,"mud houses, roofs",0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,,0,6-7 kathas,"rice, wheat, maize",1,0,0,0,0,0,0
10,Dang,Dangisharan,2,dangisharan_ward_02,739,,,5000,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1000,1000,nan,2,2,2,"irrigation, ecconomic opportunities, transportation",0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,,0,unknown,"mustard, maize, rice, wheat,pulse",1,0,1,1,0,1,1
11,Dang,Dangisharan,1,dangisharan_ward_01,2246,,,2500,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1500,1500,2,nan,1,none available,not answered,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,,0,3 katha,"mustard, maize, rice, wheat,pulse",1,1,1,1,0,1,1
12,Dang,Rajpur,4,rajpur_ward_04,2500,,,1500,"agriculture, livestock, teacher, business",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,2,3000,4000,2,0.5,0,none available,"no materials due to remoteness, poverty",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,,0,2-3 katha,"mustard, maize, rice, wheat,pulse",1,0,0,1,0,1,0
13,Dang,Lamahi,2,lamahi_ward_02,4800,,,,"agricutulture, fishery, labor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,4,unknown,unknown,2,0.2,0.5,0.05,"flood, road, bridge",0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,,0,5 katha,"local variety, hybrid, open pollinated",1,0,0,0,0,1,0
14,Dang,Lamahi,8,lamahi_ward_08,4500,8000,10000,,"agriculture, construction, day labor",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,8000,8000,8,1,0.5,0.5,"hazards, breakage of house",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,,0,5 katha,"mustard, maize, rice, wheat,pulse",1,0,0,1,1,0,0
15,Dang,Rajpur,5,rajpur_ward_05,800,,,18000,agriculture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,2,700,700,4,3,0.05,0.6,"old houses, low income, limited access to resources, thatched houses a fire hazard",0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,,0,10katha-7 bigha,"wheat, maize, rice, lentil, mustard, chickpeas, grean pea, linseed, eggplant, gourds, chillie, mango, papaya, litchi",1,0,0,1,1,0,0
16,Dang,Rapti,1,rapti_ward_01,8500,10000,15000,,"army, farmer, businessman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,800,800,1,3,0.05,0.5,transportation,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,,0,1000 square meter,"rice, maize, wheat, pigeon pea, mustard",1,0,1,1,1,0,0
17,Dang,Rapti,5,rapti_ward_05,7218,4000,5000,,"acgriculture, day labor",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,3,5000,5000,12,9,0.3,2,"hazards, erosion",0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,,0,1000 square meter,"seasonal vegtable, rice, maize, wheat",1,0,1,1,1,0,0
18,Dang,Tulsipur,14,tulsipur_ward_14,6032,,,5000,"agriculture, livestock, farming, remittances",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,2,700,800,0.3,1,0.15,none available,"hazards, illiteracy, low income, leaky roofs",0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,,0,4-5 katha,"maize, rice, vegtables",1,1,0,1,0,1,0
